date,prs,additions,deletions,loc_bruto,files
"2026-04-22",4,2375,187,2562,32
"2026-04-23",2,559,8,567,10
"2026-04-24",3,2797,231,3028,30
"2026-04-26",9,3553,364,3917,69
"2026-04-27",11,2396,521,2917,80
"2026-04-28",6,760,123,883,35
"2026-04-29",2,987,0,987,4
"2026-05-06",1,8,3,11,1
"2026-05-07",20,8547,315,8862,87
"2026-05-08",7,3395,209,3604,74
"2026-05-09",9,1046,118,1164,22
"2026-05-10",15,3112,254,3366,45
"2026-05-11",12,4516,533,5049,65
"2026-05-19",1,9,8,17,3
"2026-05-20",1,3,0,3,1
"2026-06-21",5,1116,11,1127,15
